#options: 2520x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=7000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:46 out:45 type:P dur:2 cpbdur:2 q:25.02 aq:18.07 tex:232985 mv:71450 misc:4549 imb:5899 pmb:3850 smb:995 d:s ref:0 w:6,51,3,7,103,25,103,25 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:25.02 aq:19.58 tex:184576 mv:69411 misc:7861 imb:3664 pmb:4416 smb:2664 d:t ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:24.79 aq:16.70 tex:161614 mv:66305 misc:4977 imb:6314 pmb:3170 smb:1260 d:s ref:0 w:7,81,5,6,41,46,41,46 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:24.94 aq:18.26 tex:227008 mv:69176 misc:7416 imb:4631 pmb:3728 smb:2385 d:t ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:24.86 aq:18.28 tex:179577 mv:64016 misc:7423 imb:4191 pmb:4153 smb:2400 d:- ref:0 ;
in:52 out:50 type:P dur:2 cpbdur:2 q:24.68 aq:13.81 tex:124905 mv:56027 misc:5172 imb:6957 pmb:2229 smb:1558 d:s ref:0 w:7,53,9,7,55,73,59,69 ;
in:50 out:51 type:B dur:2 cpbdur:2 q:24.75 aq:16.81 tex:226161 mv:71514 misc:6157 imb:5951 pmb:3156 smb:1637 d:t ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:24.72 aq:16.47 tex:168667 mv:57851 misc:6890 imb:4978 pmb:3569 smb:2197 d:- ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:24.44 aq:9.08 tex:74 mv:61 misc:641 imb:6 pmb:0 smb:10738 d:s ref:0 w:0,0,16,7,3,125,1,127 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:24.56 aq:13.90 tex:138348 mv:52973 misc:3367 imb:5625 pmb:4251 smb:868 d:s ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:24.19 aq:12.55 tex:211310 mv:41177 misc:809 imb:10538 pmb:196 smb:10 d:s ref:0 w:0,9,-127 ;
in:57 out:56 type:P dur:2 cpbdur:2 q:24.10 aq:14.22 tex:388160 mv:63446 misc:1458 imb:8453 pmb:2136 smb:155 d:s ref:0 w:4,47,-30,0,2,-128,2,-128 ;
